Species,BodyWeight,ParadoxicalSleep,TotalSleep,LifeSpan,OverallDanger,PredationIndex
African giant pouched rat,1,2,8.3,4.5,3,3
Asian elephant  ,2547,1.8,3.9,69,4,3
Baboon   ,10.55,0.7,9.8,27,4,4
Big brown bat ,0.023,3.9,19.7,19,1,1
Brazilian tapir  ,160,1,6.2,30.4,4,4
Cat   ,3.3,3.6,14.5,28,1,1
Chimpanzee   ,52.16,1.4,9.7,50,1,1
Chinchilla   ,0.425,1.5,12.5,7,4,5
Eastern American mole ,0.075,2.1,8.4,3.5,1,1
Echidna   ,3,0,8.6,50,2,2
European hedgehog  ,0.785,4.1,10.7,6,2,2
Galago   ,0.2,1.2,10.7,10.4,2,2
Goat   ,27.66,0.5,3.8,20,5,5
Golden hamster  ,0.12,3.4,14.4,3.9,2,3
Gray seal  ,85,1.5,6.2,41,1,1
Ground squirrel  ,0.101,3.4,13.8,9,3,5
Guinea pig  ,1.04,0.8,8.2,7.6,4,5
Horse   ,521,0.8,2.9,46,5,5
Lesser short-tailed shrew ,0.005,1.4,9.1,2.6,4,5
Little brown bat ,0.01,2,19.9,24,1,1
Man   ,62,1.9,8,100,1,1
Mouse   ,0.023,1.3,13.2,3.2,3,4
Musk shrew  ,0.048,2,12.8,2,3,4
N. American opossum ,1.7,5.6,19.4,5,1,2
Nine-banded armadillo  ,3.5,3.1,17.4,6.5,1,2
Owl monkey  ,0.48,1.8,17,12,2,2
Patas monkey  ,10,0.9,10.9,20.2,4,4
Phanlanger   ,1.62,1.8,13.7,13,2,2
Pig   ,192,1.9,8.4,27,4,4
Rabbit   ,2.5,0.9,8.4,18,5,5
Rat   ,0.28,2.6,13.2,4.7,3,3
Red fox  ,4.235,2.4,9.8,9.8,1,1
Rhesus monkey  ,6.8,1.2,9.6,29,2,2
Rock hyrax (Hetero. b),0.75,0.9,6.6,7,2,2
Rock hyrax (Procavia hab),3.6,0.5,5.4,6,3,3
Sheep   ,55.5,0.6,3.8,20,5,5
Tenrec   ,0.9,2.3,13.3,4.5,2,2
Tree hyrax  ,2,0.5,5.4,7.5,3,3
Tree shrew  ,0.104,2.6,15.8,2.3,2,3
Vervet   ,4.19,0.6,10.3,24,4,4
Water opossum  ,3.5,6.6,19.4,3,1,2